DW_LOCALIDADE;country;state;city;region_name
04f9c6a9116d64062611c6e259d9a1d8ca3b922ce1febbf081d5acaa3a65f040;UK;Não Informado;San Jose;International
19bc6c24e72429881b2fe31b58e82db49c4145c3a699d132a3c4225832f24b8c;AU;Não Informado;Taipei;International
060b9e2c4970f3239b25bdb9776aade91492696f57c54422509989fd111c5cb5;US;CA;North Highlands;Western
a99d8f1046f9c95809c088ea0acf2360d65ea47da4a482d72674600f9dca4c4f;US;IA;Pocahontas;Central
d2ba311e9e3b8f1a4dc935bd64e3d559a3c5a706bb4eb1ce991c1e68aa2fa8f9;US;MO;St Louis;Central
4155e1638db7451f315e2576e25fde707cf58e8ae1c897ecc5948f557bfe3ca1;US;GA;Norcross;Southern
6f9c9b9f5f37a75700326658f7aa7a5e85bab10d169bcdd631e78f48fc5f64a6;US;MI;Troy;Central
637166ea5256f01613654ee7407baed09edc5076b4d2c6d86f37148e8ec592c4;US;IN;Indianopolis;Central
822f79aa22597e014fcc892f678b2798cb75ce0be94c8145ebbe58785207d211;US;MS;Te Rapa Hamilton;Southern
5a40460b1b363bd4d88771a68d1fd76e6374c2b38978e3598558bd6b4465d9b1;UK;Não Informado;Lighthorne Warwick;International
58cfee60f02be261fb1016c091ccd719ba84b20752c0a2a623fa7dc0113d0f3a;IR;Não Informado;Ruwi;International
89204bbc6ee0ff03c6f0f25e32ecfe72508710250885c694910e3f8d30e13860;US;CO;Colorado Springs;Western
39885e98fa02f246b6fb37f763186348c7397bbacce9a1bcee03756778ba8f7e;US;KS;Ottawa;Central
998f3cea3bb081604dcabeb34e54b938c63b2b35ab807c0fb4184fb218265c8a;US;IN;Hammond;Central
a79babd5c522b2228712923e9aeb388c98460c4b04d583e28cea8663d5b5a16e;US;MD;Waldorf;Northeast
d66186613e6ec8e596741594440c2e4b41d4b9308b0434a61f45bd8df541202c;US;TX;San Antonio;Southern
dc58efa391cdc3baa4063d45f463d703f01ffdab668c25ac9f0d11b075740ed4;US;OR;Albany;Western
143dc2659e46fa578e3df3915033a10655a3a14171bf92f6ea356ad53b2943d2;US;TX;Schertz;Southern
66eb2ec2078049ee12de7d19bddd37465de7fe32f68a011c8622f167091775a5;CA;ON;Beamsville;Canada
247bbe599bbf64cd38182dcbf1b8e5fa3b953be1572ef4f97d3f79629b5cdd1f;US;CA;Placentia;Western
f47b0cedd22034e96c9c541dfcee8a6a573a27d6e1d5aeb7cd3dfb4f40230879;US;CA;Pomona;Western
53f627bcab447651da155e5bbd38367d2c6812329e9c2a8af20043e518e7b86a;US;AR;North Little Rock;Southern
5e94bd3e2bb2fe6010cefeb2881fe4f513a7824f79d8a459e3a0e644e6cbc505;US;CA;Van Nuys;Western
6d9c020a31cea78b33ce000b68a21376a588771076eedea1e3ebfa1fa56537f7;US;SD;Andover;Central
3c0273510f4068f6b8b0ef190c7087f88bb447cc7eb30bf34cfb59b1ebfca679;US;TX;Buda;Southern
e59272d65a236945f275aae6f7b078f52b50503b7b6651b3480481d0bbd48504;US;ME;Wells;Northeast
e7615b26ad3bccc8b1072c62f05a28c4b9ef20ffb55ad28cbf0690c58da1f22b;US;OR;Prineville;Western
17617282f04b924b284b89349d1a3b5d6cd163ce6b031bc4656709eab1bf4aac;US;CA;San Marcos;Western
7dfac4a28ea2a0404b14edc1f270af2e9f6442a7c463b4078812f4c930b89a3b;US;TX;Beaumont;Southern
1c3ac3c93ccafe1270ef39e5436d8f6704314174b55f60aed644d083e3acbe65;US;VA;Mechanicsville;Northeast
33d4a0fd4b555fe1ba7a2e47e595a1470659ef87680dbcd908fe742a1bd287e5;US;CA;Hayward;Western
3850653207667c336ea53cd1db1697e0dd4ce5b6c20affc8cb53b71db01af2a4;US;NC;Mebane;Southern
79c3c8716f6bf9a50f9a771c09904b65c34db1c68920934332518a58dfed0824;US;MS;Pearl;Southern
57da93a370bf214fa2ebfa06daf7fc1381713609f76d761e8c90daa8d35bc66c;US;PA;Milton;Northeast
2db6faf4d76fa33ebff224c65aeb466b82e3f6a4cb47cbfb9e8ca693308c4fa7;US;CA;Fresno;Western
08fdf3d90e6bc35dd43b4f44e479d285e893e1cf7479cacb30c7191bc8dc6083;US;CO;Ft Collins;Western
6beedd915fd772ddaaede3a01f05c3a597d9d30313a9f0018177142fe3b44113;US;TX;Houston;Southern
c5fb38123bf1f7d3229791991bdf03d51736ce64f0e88ea227f94f7ff6ab58e1;US;MT;Missoula;Western
2f58253e5cff4ebbcaa37574d8a5fb96b7c9a8d822dea3a8e1e295b4d8f1a27c;US;MO;Springfield;Central
9a8479220b7c5c7b681bf202a2e8c35827674704452ff73681d3f6d869e99bf0;CA;BC;Surrey;Canada
5caf360f7355a865372bc895714b0f258ba70e0dbb4c6f937cdc5af6df482d86;US;IL;Crestwood;Central
80e158433e238a84468f163f202c20769931fabb4dd1f2b459c0173b7ae10482;US;SC;Clemson;Southern
281f45ee4f3117a03e05b0ae1b97c5436339129bc13461e46bc964ec84aac918;US;CA;Redding;Western
8b327846f53ee87e749be23487fc907c4d171d831c64fd727d50ce26b161dbad;US;TX;Fort Worth;Southern
ede3771404a1035112f3d04f2682c85a0cf31a84dbb5f71aa694e83bc250e065;CA;ON;Mississauga;Canada
4889a0ba52f23798555b0f00e33f39a3fde7eca8ed60c42b4662f027e43123bc;IR;Não Informado;Schiphol-Rijk;International
31a9763d48bb13fab54a05ca687863c0cc125de1c8a32e3c63e774a6fb8385cc;US;NJ;Fairview;Northeast
2cd77bb5a015127e1267ca6c31a161052ee6477940cdbd703ebd16731c4c2fc1;US;IN;Indianapolis;Central
fc73ec157280d6df21338a89bdf986fb92b1024b64608a4c86f78b0aba77d42b;US;OK;Tulsa;Southern
fba49035ecb72b6f6274c17711873448e7a54dfea0e2c4427d34f7ddc1688361;US;CA;Maxwell;Western
b6a9e9256bd8642b18487b65858b49840d58f5b2c03168b7e6aa3ad3001abbe5;US;CA;Modesto;Western
81968fc3fdbbbb44f05fc0151f25f54ad4e177a431b6977fd87932bc81b3a7ab;US;CA;Compton;Western
1e6203d31664e9da13dc103950dc1ba6e8c35f6b1747b75b3bc2b9b5dc9c768c;US;CA;Benicia;Western
d6bd1ad7b7a198dd512270dc25f0521f3ab4b9f3ccbb510f3b432ab66eab3a8c;US;CA;Costa Mesa;Western
99000747968c20d59500bc1e8481efc6fff77053ac069e9ae1f9d8e0e110ec73;US;PA;Hermitage;Northeast
ed4cdce1d82f90804f635c854bef5e43f89af8d3c382a534dbeeaa748c6cf40d;US;MN;Thief River Falls;Central
cac84a47936055e44c37e98aa442b3b8099ac6bc9de60da1e69af5cd9dad6489;US;TN;Johnson City;Southern
147212c358ea9bf89fd51f61a893e56221d48920a63dad7541551669798bfc91;AU;Não Informado;Beirut;International
8bc241d670ebae94d452c30226eeb3908c94b6b46003c39238a2416b851ad508;US;OR;Portland;Western
092b8418987a19616e777f78fa1cfde768caed3ef6b993b5c9cb8875df254480;UK;Não Informado;D 95326 Kulmbach;International
bb6f7ae108ccb8b1a3de249a3b74465ab55997c7315844f1b2f7d02dc0c786ad;IR;Não Informado;ZI 1 Ducos;International
6eedf411380fe30889e997f68ed67f69504293ed0ea94f8fc7ac6d4dcb6a4135;US;UT;Salt Lake City;Western
5621a89e2927c66064abc715c6d80f3e2a89a75523e5ce2db4c77ed09ed22b2a;US;MI;Dearborn;Central
0b9b699aa32259f65c9858e220ae06043347d7cec8755cac764c84a68288daac;US;SD;Lennox;Central
c69149dc80458f4ee6764a469011a6e4370847e5e749cdd9818216253911c49f;US;KS;Overland Park;Central
3efbc3cc13abb3b175f18a4a75906c8ebc80477a3420a5cdf72812525287feea;US;TX;El Paso;Southern
7690196c3cb02ebbb87844e38955b654282521dd37147b5fc1f625fc3e07b99d;CA;MB;Winnepeg;Canada
dbc5595d8d5417ff286cc7e9c157fa5f7f4707aa76884318892a62226603cc29;US;MS;Laurel;Southern
fb62715c7804c54e355f0d5a9e5eb90b705454e50cdf9bb36aca240687649f2c;US;LA;Gretna;Southern
ca19dd9d581835c8af0cf5c6bb3ec5d7bb95bc74e16823373887789820cadad1;US;LA;Shreveport;Southern
1443ca9e44a124b4cefd52ef16a801377058c166b9ca71de88b5625a1410d7d1;UK;Não Informado;Industriestrasse 17;International
b354f3243b47fdb61613b0eecdacfee7d26d6f3ed6c553395bf6286f4cea301b;US;PA;West Point;Northeast
85a1521451ad71213d51ea99e8b29362c31cedf2bf9b3a5ad4f9b69d86350c74;US;AK;Anchorage;Western
0bd9394174b93b9fc0520b34482f84270cd4dab3983594249bbd88e7b8c814a5;US;IN;Plainfield;Central
d29eef0629234158fdb4e07a4219eaee3020a0e9308d9054b83a10db2805b1f6;US;CA;El Cajon;Western
21cc573ce79386f08555924bef5207e7e6ceb4ff0325b788f2aa28bb8f8e904a;US;PA;Philadelphia;Northeast
7377bc153c4560310432ee0a0ffc0f7f79a31aab46c1667a76539983d2375a89;US;MT;Bozeman;Western
c9ab5c558aa4852eb73402373730f7eda28f6c0bc6a213f04cfd9e94f6e10356;AU;Não Informado;Seocho-GU;International
7a05286236e58525f8b0dbe96ef67c745e2f5948e7a7558f983638f0620ffab8;US;WA;Yakama;Western
3d8ff7af11cd828d6607fe35a5954ca43844a811f71d91e5b96dcd20c8fd6fe6;UK;Não Informado;A 5102 Anthering;International
44d33fa58c2ed5aadafcc90a8a10fa6938f45b7aa0e276bd721e97f2891b6ae1;US;SC;Columbia;Southern
62de891e2886681c479f3e05205182dbd268b7336b8fb4e6664e165d8175c781;US;MS;Okolona;Southern
1475de11d4eccba8863d655968e8f92b1464fca4a283a4c1a328d2e8d49752b1;US;FL;Jacksonville;Southern
eefd58df62953c4878e4b43c59745ab39b488e1f58fe25dea4835df639f6dc84;US;TN;Whitehouse;Southern
f2423af4c9bc2459bc6b35063ef32ff67248a12242ae1920fb60afbf67af9731;US;OR;Beaverton;Western
6866732d451db2073d95d44436ab63146eae02c3f9cda096f5cbe47c15b7adb2;US;MI;Pontiac;Central
977d87307911a9358a84b0af0a07051ecf5328ec49f146cef02521f85064480f;US;TN;Nashville;Southern
04920bfbce3276aa6eab29c98c93f10c0e0450665a526e7eb2b2c8e2613261d8;US;PA;Nesquehoning;Northeast
e75a915d0244ddc483f1a93b7695e7c22ade607103dfe96c857aff4f7c01658c;US;WI;Eau Claire;Central
6c85ef7c69558143dbac94d77bea773400d4a05b4317707738335086f8cb299f;US;CA;Corona;Western
c9f062dd72231cf4d89f5e478a5b1f357a3eef83d79bddaa49c4bf3cb57f3757;US;CO;Wheatridge;Western
2c47d2356e4aadce2649d650115cbd2367da82a164a3a81a1c6c04a418b7237b;CA;QU;Valcourt;Canada
154acf80c41b89f20ffc17c018150fa5326c40170ddeaf2f8d699a0861d0e1df;AU;Não Informado;SE-132 28 Saltsjo-Boo;International
92876acccea44d46d18f26976099168df4c51117e7474ac34e3c5e545e03c3aa;US;OK;Oklahoma City;Southern
68fe1088c2ae857dace2c7ee9b4a9a678ee43c5050d8fd19163f964e8bf3a67e;AU;Não Informado;Furstentum;International
478391b1cc47beb952e58f84386480f11dd0f7b84ef1394b92645c6911450524;US;VA;Petersburg;Northeast
240bc2f18721d6c596e60a99dc2a62453bf6def5e881c364cd03fc4c72b7e1ef;US;WA;Auburn;Western
3ff44754b3cdb4145203196cd56a1c92b493a58a783e6988cde95c33cd897ab8;US;OR;Medford;Western
45f5f81e3662ba6926dd5a97fdff23f178aa15c8d5d19992c027f3fc94295b30;UK;Não Informado;Dubai;International
9e4b08d57ceb4006b6627358112380b0113b4479f7604d7707d589eec9bd667c;UK;Não Informado;La Paz;International
513be3fe310d84e66642aa6b4f4d105dd4346c66290b31a9b47ba4e50b9cb1d0;US;SD;Mitchell;Central
80ed407ead43e1a9cc899393d8bf9b57d361052b4b84180f414379c4260a0a8a;US;MI;Traverse City;Central
1d67e36a4134a22ffed60f89e6e513bef51925767ea3199246941af01ad30f66;US;FL;Tampa;Southern
3f97dca0d7d4ea5708897e1f73fcb8b951c5f26a94bb900e89a6c72fe1850b6e;US;WA;Kent;Western
07635e81350db69939af5eaeab02cc0f387c0579ac5ec95be0aa82215f251aea;US;IN;Attica;Central
5cc4fb8b0d6570777bbaf1b197f94c2b5842861966ff9a0dafce14d918ec4a72;US;AR;Little Rock;Southern
feac3ac95fc7cbc94d988121a709d1083d32e17fcd73f0d977a652ebc37a6b1d;IR;Não Informado;Panama Rep De Panama;International
dac7b3a729d459dc2aed18d006bc18e71e7e24a19b6c582bd268db59502ddc85;AU;Não Informado;Kanagawa;International
2f2a0e6e4673f597564e391152df578ccc79a00ef796e121b4036a42f1ba6b06;UK;Não Informado;EE 0026 Tallinn;International
c5d44829c932ac2448e2bd9b053d59c36aec833a06d6e171a9e21ffb01fd1530;US;MI;Grand Rapids;Central
3af4671fb9a3b16dd6e0bac55ca4ee954cd40962f439e2720017071c382886a0;US;UT;West Jordan;Western
484bc3bfc6fe6e159a3552dd9da044a860712533b6f2c5c07c3a6de6206c76fa;US;MA;Salem;Northeast
6d22103889efedc993540ea230332fe1b1533f32ba6227478995b1404ed0f46b;US;MN;Hamel;Central
e090e162e6277e78627507f806c9e5e3648fab8c1f0ea1648f371d3a4daa32bc;US;MA;Medford;Northeast
0e49211cfed66cab95138ed019483abcb18690282e705e35d2b587614482ae75;AU;Não Informado;112 Reyjavik;International
49a8ee5d4c258abb9e4547309cb383753c812185b21a942b29cf63f29985a5ed;US;OR;Eugene;Western
4a46bf31de74faf25f3733e8e77a442bac1a419100486ffad22257b352b2044f;US;OR;Hillsboro;Western
fe4423527ecfaae8588ae4254f57d629b980030d470592cf44a1b6768172bb98;US;MI;Lansing;Central
3926645b1bcbabb5b1e60353039060e91e418382021e97912f943ff47d9d3d0e;CA;MB;Winnipeg;Canada
8cfa8c34edbeca72ca512c604836145e4376598116a87cf354a0f758ebdc73d9;UK;Não Informado;4100 Porto;International
15bf10649dc85f163e1a848aa4aace82705d1158fee97433538f724b2e8f9ed8;US;PA;Milesburg;Northeast
f7c3e54ba53d3b627936debd4d7daf47661d2b6440b99c8ad5767b5f30c03fc8;US;OH;Bedford;Central
e9e9d7467d6e15d80c1740945d6016106072509a7a6d5eabdfef099eff41862c;US;GA;Augusta;Southern
691c1ec5032fe9e51b794fd4cab6994c39f7a3913236a853df8f4f39a97ecf6c;US;PA;Wester Chester;Northeast
4a6ede2c6f5f5f3bc949e6eeede98bb527a8f52d00946cc857a032409a108089;AU;Não Informado;Songtan SI;International
6ac442abab724d73b79f72e00a183a4fa3d4ca3da27f51fdfa438ae5007c4396;US;NY;Bedford Hills;Northeast
7f1818f1b1070cb1ccaeca798fc8cc3be1131c5727b2771e29f82b8b4e3b0676;US;CA;Oakland;Western
69db18f837b8ff0ec52901b98d1a0aed028321c4bf7bc17750f2c14c42959b26;US;OH;Wooster;Central
8482652cebd5ebdfd9d3dfd8d6a2acecaf291d88226b6a43ad7cf00758044361;US;MN;Eagan;Central
693a1a37e80a3ab4d792654b8276264d52893d74073d49913f809980bc96fc43;US;NC;Creedmoor;Southern
9607a6eef4970b58831fa66d93debae8bf479a33cce3f4c1f9ecbade42c28930;IR;Não Informado;2215 TC Voorhout;International
ef71f94053deb97bccad14db4dadde28f7b6f068bce0367053a1a109fbe529bc;US;IL;Joliet;Central
a034f9576a2a8f170304f2b8f03dfa9944b6437f1abf776d3a30c1504b06f6a0;US;NC;Shelby;Southern
98a6455e7a963d3cd6e87bbc36cfff2e256c61c5684b10cf56056e64bfc44be2;US;MI;Flint;Central
4991c29b448cfdc333360b64d9bd0a7e7becc58acc435fd04218e79042cf0acf;CA;AB;Calgary;Canada
e796139c02d6a7c1ef054b91f80055151302319c97c404383cd9ad87bcf06968;UK;Não Informado;Cali;International
148eb47dd8c7eddc0ab5139efc4bbb484ac7f024233ab2953c2c16ccbb570e05;US;WI;Sun Prairie;Central
d7fae054485250f43c049cc5a314982119f7bd1adb5c77213277633ce256a97e;US;OH;Columbiana;Central
95776c01a54337ae26276a2a9b80f30a53e6ba68dc4722d501d93879524e6f09;US;AL;Birmingham;Southern
20435cca9deb002607c94fdfd3b3f989c76637b63abca67388fea08a6beac476;US;AZ;Phoenix;Western
6e6a728b50ba25d3275eeddfdb0c0677549b8af6749cf5d28e4d389c1e96048f;UK;Não Informado;Quito;International
c36beb94f92375034d379783540288629615f536d6af0436b5ddfa9b93a22ee4;CA;SK;Regina;Canada
113a4e0918b37c7651ff5da3d5d933e395b4e4e51816b7d159a203b694932bd7;US;CA;Sacramento;Western
916b3b3d4f3045169bbeccd0f5926ce8c1d69d050a1799b1ba342142db85e5e7;US;KY;Louisville;Southern
5d36c2f415782c74a326463fb20196340c439c8c519f9e730bf306d1d7ed8781;IR;Não Informado;Quezon City;International
f7d0ab71be4de6a0c6f64a012758a44208fbd9e8512f8684d2eb0fafd012928b;US;NY;Buffalo;Northeast
54d2f5388b0891102e9adaa716eb652a6be405b6cfefdb357e42e4d9602551e8;US;VA;Manassas;Northeast
b3575ca75d34902e1eef14ed4893d6da4aba671de72b57a762ffcf7bad5b5812;US;FL;Lake Hamilton;Southern
360c98af676d6075850ca3d2c8ec3b9eb0b0c27e86f9088bc21410ab5b122a94;US;OH;Mentor;Central
7aeeaccfe63ff241e2c02e9b2726f91f4d41dcaf9a89c7eac0c99d8a702aefee;US;MO;Poplar Bluff;Central
061156453dc7da583ed01ea73b0ba4e6649c607e14856bd31c84c47f901167e6;US;AL;Saginaw;Southern
abb2e9bc26f5b10f333d605824e57b136342aad467ec3c54dcd7f201e360d9ed;AU;Não Informado;Jeddah;International
bea42bb876b52f0e2864ae09ac91b9c278a5d72aa12e8f74269d00252b98b5cd;US;IA;New Hampton;Central
d68af224de88bb4378d716320b0c02b45e5e8bb53a4e9fb34bf4b78b5af8d636;US;MO;Independence;Central
a02a7253cded7deacf51b7bebceb38ab97cfe723dd9cb446d375e204fd090f60;US;GA;Savannah;Southern
9edfef50ce6f2e9defb6fdfd2dd41fc8ff5241525601269c8e8ddb941e1324ce;US;IN;Evansville;Central
8c3e430e968c43d3124ef99ec79542e0a3f7227f890982deb8dbafdb9548b433;AU;Não Informado;Istanbul;International
d2ce8e56bb5e1305341fd3d779ba1641ffb3ab900bb6f1ab04870913548d9a3f;US;NV;Sparks;Western
15e8ae237c6f50bbf1d9e158c2c9728b4d99093fad4418bc02794667cdd67ca7;CA;ON;Oakville;Canada
8148edc5961e40486fab8b0d34ee6911aaab1096c747eb8201324b42700cd580;US;MS;Jackson;Southern
564da37f534c3e848bdff94bd2d46085caf4d2f6dcd77fb3e8e383244e886985;US;MS;Tupelo;Southern
e9e3376d9b903878369ccd75ece09f8f6dc048bf1100362fd1f0a9a75ed6fcfc;US;OR;Milwaukie;Western
e7d1e800f4103311975a0162e625dd552005752595ec37d07fce93e44fa7938e;US;CA;Huntington Beach;Western
340c5fbea3adbfbf5b8014fda4c88016cd3e90a48a28fb71baa22beb56766806;US;TN;Chattanooga;Southern
95c9bd966c24c2c7c57c92db9a778db06ccae8cc52835262d69711dee217c1d8;UK;Não Informado;Kilsyth;International
c589013a2764008d8af51ba00c5ed4df6949b57dcfafab3ea73f6eb314641d5b;UK;Não Informado;Linares (Jaen);International
0309d6baf4b86ee5ba310d88372e1e74bcf99a1b63a61eb02c865c2af9919411;US;WI;Brookfield;Central
0b78ecf20a526a2f801c38850d5f10b8c099c4df2a783265941ec17747dce83b;US;NC;Statesville;Southern
9ba640f23293d6a1a83b727a08807eefbfd1bceee251b36edf724855681277ae;US;MI;Warren;Central
dce6fdc6ca9f03e01a24f2990f970126732de1de5632a05bd3b9d12ac0084b3d;US;LA;New Orleans;Southern
3a072b525c36ef53d618d3904b4594cf5226d0d6ccaa35c5179f0057521ee450;US;OH;Canton;Central
f0a19f5311133ab7a8d18f5ba50dd4bcd22339f6aa64a71f3a7af13b43184a27;US;WI;Monroe;Central
36aab25dbd98fc81c2acf99ee17ef87860d82a85029635c1e08d7375bbdd49b1;CA;AB;Edmonton;Canada
232d1225bcf589dcf3a67fd9e65deabf3c83d89c6212219dbd82ae0ba4b2deae;US;OR;Clackamas;Western
3bfed187be5eb54ed2db948d8e7d789c704facc961e54be51625e440e1300e4d;US;IN;South Bend;Central
b00d7d0def8dc79c54ae5db14c5b175135cb6a1197f7b4a5a65a6317c7eb15b6;UK;Não Informado;Santa Cruz;International
c484c54a42a83a1e42ab3e152ab15c2b4fac92a971dcd55e3515b829ccb540eb;US;MO;St Joseph;Central
a2de722391a1bda162b404b8b5012f3d4bcecaf574e1243827824fd016c7aabf;CA;QU;Montreal;Canada
723531a575228d7be6ee3dec2cca052ba52735a13b4ef58c49158710a81ceb7e;AU;Não Informado;Jakarta Utara;International
6d3bf675f0e3f6fd927d26eba652a76ef60be4000fa06ab97b4210806fbf16b0;US;MN;St Louis Park;Central
4404af62782ece81bdeb33b70d971d6ce6f877774a7e9a11089473bae8309193;US;MS;Olive Branch;Southern
14ec3898a97f5f6e5b252aac2a58fe2744cdc7cbcbf1c6d75848910d822ea484;CA;QU;Anjou;Canada
6534c22eea02213247859443e4433a262bf22b8494476a36ec645f654f91e4b4;US;LA;Holden;Southern
82e12b3b074ca566e15d24d1f65595409aff0f083d3e5f5c2a8e43ce56b07c44;CA;AB;Fort Macleod;Canada
1f559f17f3b8271023122389cba743a43b2b695e1528c8d4aafe4c2d91e8b016;US;VA;Fredericksburg;Northeast
1598c8167bb4cab088c32275a63ba28fefc3f2546409aed57172dff6f835030b;US;VA;Vinton;Northeast
e365dc2ea9e29ef94cb8d17fcf0dd158c273e220cc61435bb02b09325e9c4c6c;US;MI;Saginaw;Central
85bec9eac0e9c021d9d463310dfc4e226b87a652f73440f43cfa131b9f23186e;US;ID;Pocatello;Western
bbd2332e459ea745b75e778bf45aa685ef48ead55c8b09626d55fa9ff84d77fb;US;AR;Pine Bluff;Southern
3302edbe10c6b8465b4867f0bb7cd09b763544e81a96b869897230e42d68a224;US;VA;Roanoke;Northeast
6d4a17359c214843dc020d1645af38f3e3be560ee398f6448b99887d0a83251f;US;OH;Cincinnati;Central
012fec822b9d279f094ed572eb8a49ded09ae1660592520bc973f40de6f83d78;US;MN;Oslo;Central
f89e5dfe564ddac12cfc3c49892a339c6323595b5445cb4bb0c7993d99ac8d58;US;FL;Hialeah;Southern
3b04613c664ad5c8d01deecf9003fdee996c2d2a7917669fccd098effd58722f;AU;Não Informado;Georgetown;International
b5d11ff9d59565365d9e8d99c5cefe28f7b914ec635d9e2e225fee6539e40b4e;IR;Não Informado;N-0598 Oslo;International
28af01eb1689a5ed609580534a9099d0cd785173222ca0d602d20b18e7d6dcb6;US;IL;Morton;Central
3cd4f4bc08f7ecb9ceb69a99d89edb4ff07e297597e88bc8173db8dd32d52345;US;ME;Lewiston;Northeast
f11697c2a921582bf2ca8379d2efe4432e7ea93e1be4820ab8d12034f1ca594e;US;IA;Des Moines;Central
4f1220cc31bcac3c033175b5c8bc08ebd29d083ee2e11fe5fff34b88972edc69;US;MS;Brookhaven;Southern
bd68e4ac36a0bb64e7f40291aa0652f8fb93d89a6430c39e3f32c8a6c3478a98;US;MI;Watervliet;Central
83527e41cffa46692417bcecfcc9ff58be702e11ac1b93f25ea045310a2f85d9;US;MD;Glen Burnie;Northeast
4eeafd4f000d857187f47cd5c3559adc6267f57d9d9f4222ce8418f17780e9c8;US;TX;Spring;Southern
7b0a4a53f59ac27a9a166c12d0615b4585f8fe9d315c70c8ef76df70c6e3bf40;US;TX;Amarillo;Southern
fb35c210a50f47e54d8b6c2233694887dd530a236604db4cd7e9d5955731f47d;CA;BC;Burnaby;Canada
798809f396987d2cd6d43db5ec6cc0d111f6572dacfe59ec14012651f9c14e28;US;LA;Baton Rouge;Southern
af9ff210bee0aada0749c8f24ac92fced0238fcdfd4e272626d769d6bc9906aa;US;KS;Kansas City;Central
bba5c14551cfb90d8a48cde2614b2f6e7d323abd0e15b5b611dd3b5b64d9735f;UK;Não Informado;Carcas;International
